0,A Clockwork Orange,1971,21,78,1,tt0066921
1,Carrie,2013,21,78,0,tt1939659
2,Wild Bill,1995,21,78,,tt0114938
3,No Country for Old Men,2007,21,78,,tt0477348
4,Prom Night,1980,21,78,,tt0081383
5,Magnum Force,1973,21,78,,tt0070355
6,Ouija,2014,21,78,,tt1204977
7,All the Boys Love Mandy Lane,2006,21,78,,tt0490076
8,"O Brother, Where Art Thou?",2000,21,78,,tt0190590
9,Frances,1982,21,78,,tt0083967
10,Fracture,2007,21,78,,tt0488120
11,Foxcatcher,2014,21,78,,tt1100089
12,Jumpin' Jack Flash,1986,21,78,,tt0091306
13,Four Rooms,1995,21,78,,tt0113101
14,50/50,2011,21,78,,tt1306980
15,Thir13en Ghosts,2001,21,78,,tt0245674
16,Body of Lies,2008,21,78,,tt0758774
17,1492: Conquest of Paradise,1992,21,78,,tt0103594
18,Mr. Smith Goes to Washington,1939,21,78,,tt0031679
19,Taken 2,2012,21,78,,tt1397280
20,"Monsters, Inc.",2001,21,78,,tt0198781
21,The Family Man,2000,21,78,,tt0218967
22,Lawless,2012,21,78,,tt1212450
23,Fantastic Mr. Fox,2009,21,78,,tt0432283
24,Fargo,1996,21,78,,tt0116282
25,Fantastic Four,2005,21,78,,tt0120667
26,The Grapes of Wrath,1940,21,78,,tt0032551
27,Grand Theft Parsons,2003,21,78,,tt0338075
28,Gravity,2013,21,78,,tt1454468
29,Beauty and the Beast,1991,21,78,,tt0101414
30,Let Me In,2010,21,78,,tt1228987
31,Two Night Stand,2014,21,78,,tt2140619
32,Conan the Barbarian,2011,21,78,,tt0816462
33,Possession,2002,21,78,,tt0256276
34,The Poseidon Adventure,1972,21,78,,tt0069113
35,Color of Night,1994,21,78,,tt0109456
36,The Prestige,2006,21,78,,tt0482571
37,Colombiana,2011,21,78,,tt1657507
38,Love & Other Drugs,2010,21,78,,tt0758752
39,Monster House,2006,21,78,,tt0385880
40,Running Scared,1986,21,78,,tt0091875
41,End of Days,1999,21,78,,tt0146675
42,Thelma & Louise,1991,21,78,,tt0103074
43,The Terminator,1984,21,78,,tt0088247
44,Critters 2,1988,21,78,,tt0094919
45,Terminator Salvation,2009,21,78,,tt0438488
46,Juno,2007,21,78,,tt0467406
47,Judge Dredd,1995,21,78,,tt0113492
48,JFK,1991,21,78,,tt0102138
49,Chasing Amy,1997,21,78,,tt0118842
50,Vantage Point,2008,21,78,,tt0443274
51,Chasing Sleep,2000,21,78,,tt0221069
52,Resident Evil,2002,21,78,,tt0120804
53,The Village,2004,21,78,,tt0368447
54,Reservoir Dogs,1992,21,78,,tt0105236
55,The Rescuers Down Under,1990,21,78,,tt0100477
56,Vicky Cristina Barcelona,2008,21,78,,tt0497465
57,Chinatown,1974,21,78,,tt0071315
58,American Hustle,2013,21,78,,tt1800241
59,Revolutionary Road,2008,21,78,,tt0959337
60,Elizabethtown,2005,21,78,,tt0368709
61,Ed Wood,1994,21,78,,tt0109707
62,Master and Commander: The Far Side of the World,2003,21,78,,tt0311113
63,The Master,2012,21,78,,tt1560747
64,3 Women,1977,21,78,,tt0075612
65,Thor,2011,21,78,,tt0800369
66,Please Give,2010,21,78,,tt0878835
67,Next,2007,21,78,,tt0435705
68,Nightcrawler,2014,21,78,,tt2872718
69,Single White Female,1992,21,78,,tt0105414
70,Pawn Sacrifice,2014,21,78,,tt1596345
71,A Nightmare on Elm Street,1984,21,78,,tt0087800
72,Basic,2003,21,78,,tt0264395
73,The General's Daughter,1999,21,78,,tt0144214
74,The Mummy,1999,21,78,,tt0120616
75,eXistenZ,1999,21,78,,tt0120907
76,Duel,1971,21,78,,tt0067023
77,Fun with Dick and Jane,2005,21,78,,tt0369441
78,Snow Angels,2007,21,78,,tt0453548
79,My Best Friend's Wedding,1997,21,78,,tt0119738
80,My Girl,1991,21,78,,tt0102492
81,Hunchback of Notre Dame,1996,21,78,,tt0116583
82,The Fast and the Furious,2001,21,78,,tt0232500
83,The Blair Witch Project,1999,21,78,,tt0185937
84,The Jungle Book,1967,21,78,,tt0061852
