Stanley Kubrick,"['tt0066921', 'tt0081505', 'tt0062622', 'tt0120663', 'tt0093058', 'tt0072684']",[]
Anthony Burgess,['tt0066921'],[]
Lawrence D. Cohen,"['tt1939659', 'tt0082449']",[]
Roberto Aguirre-Sacasa,"['tt1939659', 'tt2561546']",[]
Stephen King,"['tt1939659', 'tt0087050', 'tt0081505', 'tt0109642', 'tt0450385', 'tt0106664', 'tt0087262', 'tt0085333', 'tt0111161', 'tt0083767', 'tt0118636', 'tt0092005', 'tt0090021', 'tt0090021', 'tt0884328', 'tt0091499', 'tt0091499', 'tt0252501', 'tt0098084', 'tt0098084', 'tt0120689', 'tt0100157', 'tt0107665', 'tt0285531', 'tt0085382']",[]
Peter Dexter,"['tt0114938', 'tt0263265', 'tt0263265']",[]
Thomas Babe,['tt0114938'],[]
Walter Hill,"['tt0114938', 'tt0103644', 'tt0073092', 'tt0090605', 'tt0116830', 'tt0095963', 'tt0095963', 'tt0068638', 'tt0077474']",[]
Joel Coen,"['tt0477348', 'tt0887883', 'tt1403865', 'tt1019452', 'tt0138524', 'tt0086979', 'tt0101410', 'tt0335245']",[]
Ethan Coen,"['tt0477348', 'tt0116282', 'tt0093822', 'tt0118715', 'tt1403865', 'tt0110074', 'tt0138524', 'tt0335245']",[]
Cormac McCarthy,"['tt0477348', 'tt2193215', 'tt0149624', 'tt0898367']",[]
William Gray,['tt0081383'],[]
Robert Guza Jr.,['tt0081383'],[]
Harry Julian Fink,['tt0070355'],[]
Rita M. Fink,['tt0070355'],[]
John Milius,"['tt0070355', 'tt0070355', 'tt0109444', 'tt0073906', 'tt0097334', 'tt0078788', 'tt0068762']",[]
Michael Cimino,"['tt0070355', 'tt0077416']",[]
Juliet Snowden,['tt1204977'],[]
 Stiles White,['tt1204977'],[]
Jacob Forman,['tt0490076'],[]
Eric Bergren,"['tt0083967', 'tt0080678']",[]
 Christopher De Vore,['tt0083967'],[]
 Nicholas Kazan,['tt0083967'],[]
Daniel Pyne,"['tt0488120', 'tt0488120', 'tt0146838', 'tt0368008']",[]
Glenn Gers,['tt0488120'],[]
E. Max Frye,"['tt1100089', 'tt0091983']",[]
 Dan Futterman,['tt1100089'],[]
David Franzoni,"['tt0091306', 'tt0091306', 'tt0172495', 'tt0172495']",[]
Charles Shyer,"['tt0091306', 'tt0076729', 'tt0375173', 'tt0101862']",[]
Nancy Meyers,"['tt0091306', 'tt0081375', 'tt1230414', 'tt0101862', 'tt0337741']",[]
Chris Thompson,['tt0091306'],[]
Allison Anders,['tt0113101'],[]
 Alexandre Rockwell,['tt0113101'],[]
 Robert Rodriguez,['tt0113101'],[]
 Quentin Tarantino,"['tt0113101', 'tt0462322', 'tt0110912', 'tt0359715']",[]
Will Reiser,['tt1306980'],[]
Robb White,"['tt0245674', 'tt0185371']",[]
Neal Marshall Stevens,['tt0245674'],[]
Richard D'Ovidio,['tt0245674'],[]
William Monahan,"['tt0758774', 'tt0320661', 'tt0407887', 'tt2039393', 'tt1226273']",[]
David Ignatius,['tt0758774'],[]
Rose Bosch,['tt0103594'],[]
Sidney Buchman,['tt0031679'],[]
Lewis R. Foster,['tt0031679'],[]
Luc Besson,"['tt1397280', 'tt1397280', 'tt1657507', 'tt0095250', 'tt0095250', 'tt0110413', 'tt0119116', 'tt0119116', 'tt0107843', 'tt2404311', 'tt2872732', 'tt1430612', 'tt1430612', 'tt0936501', 'tt2172934', 'tt2172934']",[]
 Robert Mark Kamen,"['tt1397280', 'tt0936501']",[]
Robert Mark Kamen,"['tt1397280', 'tt1657507', 'tt0119116', 'tt0105159', 'tt0087538']",[]
David Diamond,['tt0218967'],[]
 David Weissman,['tt0218967'],[]
Nick Cave,['tt1212450'],[]
Matt Bondurant,['tt1212450'],[]
Roald Dahl,['tt0432283'],[]
Wes Anderson,"['tt0432283', 'tt0362270', 'tt0265666', 'tt2278388', 'tt2278388', 'tt1748122', 'tt0838221', 'tt0128445']",[]
Noah Baumbach,"['tt0432283', 'tt0113537', 'tt2872462', 'tt1791682', 'tt0757361', 'tt1234654', 'tt1234654', 'tt0367089']",[]
 Joel Coen,"['tt0116282', 'tt0093822', 'tt3682448', 'tt0118715', 'tt0110074']",[]
Mark Frost,"['tt0120667', 'tt0105665']",[]
 Michael France,"['tt0120667', 'tt0330793']",[]
Stan Lee,"['tt0120667', 'tt0800369', 'tt0286716', 'tt0316654']",[]
Jack Kirby,"['tt0120667', 'tt0800369', 'tt0458339', 'tt0286716']",[]
Nunnally Johnson,['tt0032551'],[]
John Steinbeck,['tt0032551'],[]
Jeremy Drysdale,['tt0338075'],[]
David Caffrey,['tt0338075'],[]
 Jeremy Drysdale,['tt0338075'],[]
Alfonso Cuarón,"['tt1454468', 'tt0206634']",[]
 Jonás Cuarón,['tt1454468'],[]
Linda Woolverton,"['tt0101414', 'tt1014759', 'tt0120762', 'tt1587310', 'tt0110357']",[]
Brenda Chapman,"['tt0101414', 'tt0116583', 'tt0110357']",[]
