Leonard Nimoy,"[u'Category:1931 births', u'Category:2015 deaths', u'Category:20th-century American male actors', u'Category:20th-century American poets', u'Category:21st-century American male actors', u'Category:All Wikipedia articles written in American English', u'Category:All articles with unsourced statements', u'Category:American film directors', u'Category:American male film actors', u'Category:American male poets']"
Ricky Gervais,"[u'Category:1961 births', u'Category:20th-century British writers', u'Category:20th-century English male actors', u'Category:21st-century British writers', u'Category:21st-century English male actors', u'Category:Alumni of University College London', u'Category:Animal rights advocates', u'Category:Antitheists', u'Category:Articles with hAudio microformats', u'Category:Atheism in the United Kingdom']"
Phillip Noyce,"[u'Category:1950 births', u'Category:All Wikipedia articles written in Australian English', u'Category:All articles covered by WikiProject Wikify', u'Category:All articles with unsourced statements', u'Category:All pages needing cleanup', u'Category:Articles covered by WikiProject Wikify from November 2015', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from August 2012', u'Category:Australian Film Television and Radio School alumni', u'Category:Australian film directors']"
Kevin Billington,"[u'Category:1934 births', u'Category:All articles lacking reliable references', u'Category:All articles sourced by IMDb', u'Category:All stub articles', u""Category:Alumni of Queens' College, Cambridge"", u'Category:Articles lacking reliable references from May 2009', u'Category:Articles sourced only by IMDb from May 2009', u'Category:Articles with hCards', u'Category:BLP articles lacking sources from May 2009', u'Category:British film director stubs']"
Neal Israel,"[u'Category:1956 births', u'Category:American film directors', u'Category:American film producers', u'Category:American male film actors', u'Category:American male screenwriters', u'Category:American male television actors', u'Category:American television directors', u'Category:American television producers', u'Category:American television writers', u'Category:Articles with hCards']"
Tony Bancroft,"[u'Category:American film directors', u'Category:Animators from California', u'Category:California Institute of the Arts alumni', u'Category:Disney people', u'Category:Living people', u'Category:People from Orange County, California']"
Kyle Balda,"[u'Category:1971 births', u'Category:American film directors', u'Category:American people of Maltese descent', u'Category:Animators from Arizona', u'Category:Articles with hCards', u'Category:California Institute of the Arts alumni', u'Category:Illumination Entertainment people', u'Category:Living people', u'Category:No local image but image on Wikidata', u'Category:Pixar people']"
Mike Flanagan,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
John Gulager,"[u'Category:1957 births', u'Category:20th-century American male actors', u'Category:21st-century American male actors', u'Category:All stub articles', u'Category:American cinematographers', u'Category:American film director, 1950s birth stubs', u'Category:American male film actors', u'Category:Articles with hCards', u'Category:Film directors from New York City', u'Category:Living people']"
Grant Heslov,"[u'Category:1963 births', u'Category:All BLP articles lacking sources', u'Category:American male actors', u'Category:American male film actors', u'Category:American male screenwriters', u'Category:American male television actors', u'Category:Articles with hCards', u'Category:BAFTA winners (people)', u'Category:BLP articles lacking sources from February 2013', u'Category:Best Screenplay AACTA International Award winners']"
James Vanderbilt,"[u'Category:1975 births', u'Category:All stub articles', u'Category:American film directors', u'Category:American male screenwriters', u'Category:American people of Dutch descent', u'Category:American screenwriter stubs', u'Category:Articles with hCards', u'Category:Living people', u'Category:People from Norwalk, Connecticut', u""Category:St. Paul's School (Concord, New Hampshire) alumni""]"
Jeffrey Scott Richards,
Solomon Rothman,
Mike Leigh,"[u'Category:1943 births', u'Category:All articles with unsourced statements', u'Category:Alumni of Camberwell College of Arts', u'Category:Alumni of the Central School of Art and Design', u'Category:Alumni of the Royal Academy of Dramatic Art', u'Category:Articles with hAudio microformats', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from December 2014', u'Category:Articles with unsourced statements from January 2011', u'Category:Articles with unsourced statements from October 2014']"
Gonzalo López-Gallego,"[u'Category:1973 births', u'Category:All articles to be expanded', u'Category:All stub articles', u'Category:Articles needing translation from Spanish Wikipedia', u'Category:Articles to be expanded from October 2011', u'Category:Articles with hCards', u'Category:Film directors from Madrid', u'Category:Living people', u'Category:Spanish film biography stubs', u'Category:Spanish film directors']"
David Mackenzie,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
David Robert Mitchell,"[u'Category:1974 births', u'Category:American film directors', u'Category:American film editors', u'Category:American male screenwriters', u'Category:Articles with hCards', u'Category:Film directors from Michigan', u'Category:Living people', u'Category:People from Clawson, Michigan', u'Category:Twitter username different from Wikidata', u'Category:Use mdy dates from February 2013']"
Thomas Bezucha,"[u'Category:1964 births', u'Category:All stub articles', u'Category:American film director, 1960s birth stubs', u'Category:American film directors', u'Category:American male screenwriters', u'Category:American screenwriter stubs', u'Category:English-language film directors', u'Category:Gay writers', u'Category:LGBT directors', u'Category:LGBT writers from the United States']"
Roger Spottiswoode,"[u'Category:1945 births', u'Category:All stub articles', u'Category:Articles with hCards', u'Category:British film director stubs', u'Category:British film directors', u'Category:British film editors', u'Category:British male screenwriters', u'Category:Film directors from Ottawa', u'Category:James Bond film directors', u'Category:Living people']"
Gideon Raff,"[u'Category:1973 births', u'Category:All articles with dead external links', u'Category:Animal rights advocates', u'Category:Articles containing Hebrew-language text', u'Category:Articles with dead external links from January 2017', u'Category:Articles with permanently dead external links', u'Category:CS1 French-language sources (fr)', u'Category:CS1 Hebrew-language sources (he)', u'Category:CS1 uses Hebrew-language script (he)', u'Category:English-language film directors']"
Tony Goldwyn,"[u'Category:1960 births', u'Category:20th-century American male actors', u'Category:21st-century American male actors', u'Category:Alumni of the London Academy of Music and Dramatic Art', u'Category:American film directors', u'Category:American male film actors', u'Category:American male television actors', u'Category:American male voice actors', u'Category:American people of Polish-Jewish descent', u'Category:American people of Russian-Jewish descent']"
Paul Lynch,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
Lynne Ramsay,"[u'Category:1969 births', u'Category:Articles with hCards', u'Category:Living people', u'Category:Scottish women cinematographers', u'Category:Scottish women film directors', u'Category:Wikipedia articles with BNF identifiers', u'Category:Wikipedia articles with GND identifiers', u'Category:Wikipedia articles with ISNI identifiers', u'Category:Wikipedia articles with LCCN identifiers', u'Category:Wikipedia articles with VIAF identifiers']"
David Zucker,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
Hal Hartley,"[u'Category:1959 births', u'Category:American film directors', u'Category:American male screenwriters', u'Category:Articles with hCards', u'Category:English-language film directors', u'Category:Living people', u'Category:Massachusetts College of Art and Design alumni', u'Category:People from Lindenhurst, New York', u'Category:State University of New York at Purchase alumni', u'Category:Wikipedia articles with BNF identifiers']"
Jim Henson,"[u'Category:1936 births', u'Category:1990 deaths', u'Category:20th-century American male actors', u'Category:All articles needing additional references', u'Category:American film directors', u'Category:American film producers', u'Category:American male comedians', u'Category:American male voice actors', u'Category:American puppeteers', u'Category:American television producers']"
Sarah Polley,"[u'Category:1979 births', u'Category:20th-century Canadian actresses', u'Category:21st-century Canadian actresses', u'Category:Actresses from Toronto', u'Category:All articles with dead external links', u'Category:All articles with unsourced statements', u'Category:Articles with dead external links from August 2016', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from August 2016', u'Category:Articles with unsourced statements from June 2009']"
Francis Lawrence,"[u'Category:1971 births', u'Category:Advertising directors', u'Category:All BLP articles lacking sources', u'Category:All articles covered by WikiProject Wikify', u'Category:All pages needing cleanup', u'Category:American expatriates in Austria', u'Category:American film directors', u'Category:American music video directors', u'Category:Articles covered by WikiProject Wikify from November 2014', u'Category:Articles with hCards']"
Peter Berg,"[u'Category:1964 births', u'Category:20th-century American male actors', u'Category:21st-century American male actors', u'Category:American film directors', u'Category:American male film actors', u'Category:American male television actors', u'Category:American television directors', u'Category:American television writers', u'Category:Articles with hCards', u'Category:Jewish American male actors']"
Dan Rush,"[u'Category:1960 births', u'Category:Articles with hCards', u'Category:Living people', u'Category:United Food and Commercial Workers']"
Franck Khalfoun,"[u'Category:1968 births', u'Category:All stub articles', u'Category:Articles with hCards', u'Category:French Jews', u'Category:French film director stubs', u'Category:French film directors', u'Category:French screenwriters', u'Category:Living people', u'Category:Male screenwriters', u'Category:Pages using deprecated image syntax']"
Paul Haggis,"[u'Category:1953 births', u'Category:Articles with hCards', u'Category:BAFTA winners (people)', u'Category:Best Original Screenplay Academy Award winners', u'Category:Canadian atheists', u'Category:Canadian emigrants to the United States', u'Category:Canadian film directors', u'Category:Canadian film producers', u'Category:Canadian former Christians', u'Category:Canadian screenwriters']"
Henry Hathaway,"[u'Category:1898 births', u'Category:1985 deaths', u'Category:All articles needing additional references', u'Category:American Roman Catholics', u'Category:American film directors', u'Category:American people of Belgian descent', u'Category:Articles needing additional references from August 2008', u'Category:Articles with hCards', u'Category:Burials at Holy Cross Cemetery, Culver City', u'Category:Businesspeople from Sacramento, California']"
 Eduardo Sánchez,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages', u'Category:Monitored short pages']"
Philip Seymour Hoffman,"[u'Category:1967 births', u'Category:2014 deaths', u'Category:20th-century American male actors', u'Category:21st-century American male actors', u'Category:Accidental deaths in New York', u'Category:American Roman Catholics', u'Category:American film producers', u'Category:American male film actors', u'Category:American male stage actors', u'Category:American male television actors']"
Don Bluth,"[u'Category:1937 births', u'Category:All articles with unsourced statements', u'Category:American Latter Day Saints', u'Category:American expatriates in Ireland', u'Category:American film directors', u'Category:American film producers', u'Category:American male screenwriters', u'Category:American people of English descent', u'Category:American people of German descent', u'Category:American people of Scottish descent']"
Michael Mann,"[u'Category:1943 births', u'Category:All BLP articles lacking sources', u'Category:All articles needing style editing', u'Category:All articles that may contain original research', u'Category:All articles with a promotional tone', u'Category:All articles with unsourced statements', u'Category:Alumni of the London Film School', u'Category:American Jews', u'Category:American film directors', u'Category:American film producers']"
Chris Renaud,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
Lee Tamahori,"[u'Category:1950 births', u'Category:Articles with hCards', u'Category:Indigenous filmmakers', u'Category:James Bond film directors', u'Category:Living people', u'Category:New Zealand M\u0101ori people', u'Category:New Zealand film directors', u'Category:People educated at Massey High School', u'Category:People educated at Tawa College', u'Category:Wikipedia articles with BNF identifiers']"
 Amy Heckerling,"[u'Category:1954 births', u'Category:AFI Conservatory alumni', u'Category:All articles with unsourced statements', u'Category:American film directors', u'Category:American film producers', u'Category:American television directors', u'Category:American television producers', u'Category:American television writers', u'Category:American women film directors', u'Category:American women screenwriters']"
Tony Bill,"[u'Category:1940 births', u'Category:All BLP articles lacking sources', u'Category:American film directors', u'Category:American film producers', u'Category:American male television actors', u'Category:American television directors', u'Category:BLP articles lacking sources from April 2007', u'Category:Film directors from California', u'Category:Living people', u'Category:Male actors from San Diego']"
Adrian Lyne,"[u'Category:1941 births', u'Category:Articles with hCards', u'Category:English film directors', u'Category:English film producers', u'Category:Living people', u'Category:People educated at Highgate School', u'Category:People from Peterborough', u'Category:Wikipedia articles with BNF identifiers', u'Category:Wikipedia articles with GND identifiers', u'Category:Wikipedia articles with ISNI identifiers']"
Jonathan Frakes,"[u'Category:1952 births', u'Category:20th-century American male actors', u'Category:21st-century American male actors', u'Category:All articles with unsourced statements', u'Category:American film directors', u'Category:American male film actors', u'Category:American male television actors', u'Category:American male voice actors', u'Category:American people of English descent', u'Category:American people of German descent']"
Robert Rodriguez,"[u'Category:1968 births', u'Category:All BLP articles lacking sources', u'Category:All articles with unsourced statements', u'Category:American film directors', u'Category:American film directors of Mexican descent', u'Category:American film producers', u'Category:American male musicians', u'Category:American male screenwriters', u'Category:American people of Mexican descent', u'Category:American writers of Mexican descent']"
Paul Schrader,"[u'Category:1946 births', u'Category:American film directors', u'Category:American male screenwriters', u'Category:American people of Dutch descent', u'Category:Articles with hCards', u'Category:Calvin College alumni', u'Category:English-language film directors', u'Category:Film directors from Michigan', u'Category:German-language film directors', u'Category:Living people']"
Ronny Yu,"[u'Category:1950 births', u'Category:All stub articles', u'Category:American film directors of Hong Kong descent', u'Category:Articles containing Chinese-language text', u'Category:Chinese film director stubs', u'Category:Hong Kong artist stubs', u'Category:Hong Kong film directors', u'Category:Hong Kong people of Shandong descent', u'Category:Horror film directors', u'Category:Living people']"
Ridley Scott,"[u'Category:1937 births', u'Category:All articles with dead external links', u'Category:Alumni of the Royal College of Art', u'Category:Apple Inc. advertising', u'Category:Articles with dead external links from June 2016', u'Category:Articles with hCards', u'Category:CS1 maint: Unfit url', u'Category:Commanders of the Order of Ouissam Alaouite', u'Category:David di Donatello winners', u'Category:English-language film directors']"
Hugh Johnson,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
John Sturges,"[u'Category:1910 births', u'Category:1992 deaths', u'Category:American film directors', u'Category:American military personnel of World War II', u'Category:Articles with hCards', u'Category:Commons category with local link same as on Wikidata', u'Category:Deaths from emphysema', u'Category:Film directors from Illinois', u'Category:First Motion Picture Unit personnel', u'Category:People from Oak Park, Illinois']"
 Kelly Asbury,"[u'Category:1960 births', u'Category:American art directors', u'Category:American film directors', u'Category:American male screenwriters', u'Category:American male voice actors', u'Category:American male writers', u'Category:American storyboard artists', u'Category:Animated film directors', u'Category:Animators from Texas', u'Category:Art directors']"
Mike Hodges,"[u'Category:1932 births', u'Category:Articles with hCards', u'Category:English film directors', u'Category:English screenwriters', u'Category:EngvarB from September 2013', u'Category:Living people', u'Category:Pages using ISBN magic links', u'Category:People from Bristol', u'Category:Use dmy dates from September 2013', u'Category:Wikipedia articles with BNF identifiers']"
Kevin Connor,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
Rupert Wainwright,"[u'Category:1961 births', u'Category:All stub articles', u'Category:British film director stubs', u'Category:English film directors', u'Category:English music video directors', u'Category:Grammy Award winners', u'Category:Horror film directors', u'Category:Living people', u'Category:Wikipedia articles with BNF identifiers', u'Category:Wikipedia articles with GND identifiers']"
David Caffrey,"[u'Category:1969 births', u'Category:All stub articles', u'Category:Articles with hCards', u'Category:European film director stubs', u'Category:Irish artist stubs', u'Category:Irish film directors', u'Category:Living people', u'Category:Wikipedia articles with BNF identifiers', u'Category:Wikipedia articles with ISNI identifiers', u'Category:Wikipedia articles with VIAF identifiers']"
Guillermo del Toro,"[u'Category:1964 births', u'Category:Ariel Award winners', u'Category:Articles with hCards', u'Category:Artists from Guadalajara, Jalisco', u'Category:Artists from Toronto', u'Category:Best Director Ariel Award winners', u'Category:Biography with signature', u'Category:CS1 Spanish-language sources (es)', u'Category:CS1 errors: external links', u'Category:Commons category with local link same as on Wikidata']"
John Wells,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
Marcus Markou,"[u'Category:British dramatists and playwrights', u'Category:British male writers', u'Category:Living people', u'Category:Male dramatists and playwrights', u'Category:Place of birth missing (living people)']"
Kevin Smith,"[u'Category:1970 births', u'Category:20th-century American male actors', u'Category:20th-century American writers', u'Category:21st-century American male actors', u'Category:21st-century American writers', u'Category:All NPOV disputes', u'Category:All articles with failed verification', u'Category:American Roman Catholics', u'Category:American bloggers', u'Category:American comics writers']"
George Nolfi,"[u'Category:All BLP articles lacking sources', u'Category:All stub articles', u'Category:Alumni of the University of Oxford', u'Category:American film biography stubs', u'Category:American male screenwriters', u'Category:Articles with hCards', u'Category:BLP articles lacking sources from August 2011', u'Category:Living people', u'Category:Princeton University alumni, 1980\u201389', u'Category:University of California, Los Angeles alumni']"
Kenneth Branagh,"[u'Category:1960 births', u'Category:20th-century male actors from Northern Ireland', u'Category:21st-century male actors from Northern Ireland', u'Category:Actor-managers', u'Category:Actors awarded British knighthoods', u'Category:Alumni of the Royal Academy of Dramatic Art', u'Category:Articles with hCards', u'Category:Best Director BAFTA Award winners', u'Category:British male Shakespearean actors', u'Category:British people of Irish descent']"
Richard Attenborough,"[u'Category:1923 births', u'Category:2014 deaths', u'Category:20th-century English male actors', u'Category:21st-century English male actors', u'Category:Actors awarded British knighthoods', u'Category:Actors awarded British peerages', u'Category:All articles needing additional references', u'Category:All articles with unsourced statements', u'Category:Alumni of the Royal Academy of Dramatic Art', u'Category:Articles needing additional references from August 2014']"
John Badham,"[u'Category:1939 births', u'Category:All articles with unsourced statements', u'Category:American film directors', u'Category:American television directors', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from November 2013', u'Category:English emigrants to the United States', u'Category:English film directors', u'Category:English television directors', u'Category:Indian Springs School alumni']"
Phil Lord,"[u'Category:1975 births', u'Category:All articles with unsourced statements', u'Category:American film directors', u'Category:American film producers', u'Category:American male screenwriters', u'Category:American television directors', u'Category:American television producers', u'Category:American television writers', u'Category:Animation directors', u'Category:Annie Award winners']"
John Boorman,"[u'Category:1933 births', u'Category:All articles with unsourced statements', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from April 2011', u'Category:English film directors', u'Category:English film producers', u'Category:English male writers', u'Category:English screenwriters', u'Category:German-language film directors', u'Category:Living people']"
Wes Craven,"[u'Category:1939 births', u'Category:2015 deaths', u'Category:All articles with unsourced statements', u'Category:American film directors', u'Category:American film producers', u'Category:American male film actors', u'Category:American male screenwriters', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from October 2016', u'Category:Birdwatchers']"
Ted Berman,"[u'Category:1919 births', u'Category:2001 deaths', u'Category:All stub articles', u'Category:American animator stubs', u'Category:American cartoonists', u'Category:American film directors', u'Category:American male screenwriters', u'Category:Animators from California', u'Category:Articles with hCards', u'Category:Chouinard Art Institute alumni']"
Jim Sharman,"[u'Category:1945 births', u'Category:All articles with unsourced statements', u'Category:Articles with hCards', u'Category:Articles with unsourced statements from November 2014', u'Category:Australian film directors', u'Category:Australian theatre directors', u'Category:EngvarB from August 2014', u'Category:Helpmann Award winners', u'Category:Living people', u'Category:Use dmy dates from August 2014']"
Ken Shapiro,"[u'Category:All articles with topics of unclear notability', u'Category:All stub articles', u'Category:American male child actors', u'Category:American television actor stubs', u'Category:American television directors', u'Category:American television producers', u'Category:American television writers', u'Category:Articles with topics of unclear notability from November 2014', u'Category:Jewish American writers', u'Category:Living people']"
Colin Trevorrow,"[u'Category:1976 births', u'Category:American film directors', u'Category:American male screenwriters', u'Category:American people of Sephardic-Jewish descent', u'Category:Articles with hCards', u'Category:Film directors from California', u'Category:Living people', u'Category:Tisch School of the Arts alumni', u'Category:Wikipedia articles with GND identifiers', u'Category:Wikipedia articles with LCCN identifiers']"
