Darnell Martin,"[u'tt0110091', u'tt1042877', u'tt0110091', u'tt0406265']", W,T,
Euzhan Palcy,"[u'tt0097243', u'tt0086213']", W,T,
Amma Asante,[u'tt0365914'], W,T,
Kasi Lemmons,"[u'tt0182000', u'tt0796368']", W,T,
Julie Dash,"[u'tt0293562', u'tt0104057']", W,T,
Claire Denis,[u'tt1100048']
Alile Sharon Larkin,[u'tt0180645'], W,T,
Ana Lily Amirpour,[u'tt2326554']
Jennifer Phang,[u'tt3090670'], W,T,
Nandini Bv Reddy,[u'tt1830477']
Christine Swanson,[u'tt0239570'], W,T,
Chika Anadu,[u'tt2784204'], W,T,
Luis Buñuel,[u'tt0061395']
Gurinder Chadha,"[u'tt0286499', u'tt0106408']", W,T,
Dee Rees,"[u'tt3704352', u'tt1233334']", W,T,
Gina Prince-Bythewood,"[u'tt3125324', u'tt0416212']", W,T,
Nadine Labaki,"[u'tt0825236', u'tt1772424']", W,T,
Maryam Keshavarz,[u'tt1684628'], W,T,
Neema Barnette,"[u'tt0326806', u'tt1996346']", W,T,
Zeinabu irene Davis,[u'tt0223027'], W,T,
Mina Shum,[u'tt0109655'], W,T,
Maya Angelou,"[u'tt0142231', u'tt0142231']", W,T,
Cauleen Smith,[u'tt0181517'], W,T,
M. Night Shyamalan,[u'tt1815862']
Zoltán Füle,[u'tt3898506']
Pouran Derakhshandeh,"[u'tt2040342', u'tt2440036', u'tt2440036', u'tt2440036']"
Francis Lawrence,"[u'tt1951264', u'tt1067583']"
Julie Taymor,"[u'tt0120679', u'tt0120679']", W,,
Patricia Riggen,[u'tt1817676'], W,T,
Karyn Kusama,[u'tt0210075'], W,T,
Susan Youssef,[u'tt1670646'], W,T,
Rebecca Johnson,[u'tt3159818']
Mark Edwin Robinson,[u'tt2179087']
So Yong Kim,"[u'tt0492463', u'tt1143155']"
Martha Coolidge,[u'tt0172348']
Leslie Harris,[u'tt0104575'], W,T,
Sanaa Hamri,"[u'tt1407061', u'tt0437777']", W,T,
Mira Nair,"[u'tt0116743', u'tt0102456', u'tt0265343']", W,T,
Kathleen Collins,[u'tt0084269'], W,T,
Glenn Ficarra,[u'tt1570728']
 John Requa,[u'tt1570728']
Zoya Akhtar,[u'tt0886539'], W,T,
Allison Anders,[u'tt0107566']
John Stockwell,[u'tt1032817']
Tina Mabry,[u'tt1169834'], W,T,
Alison Swan,[u'tt0155877'], W,T,
Aurora Guerrero,[u'tt1978480'], W,T,T
Tanya Hamilton,[u'tt0775543'], W,T,
Kayo Hatta,[u'tt0114129'], W,T,
Barry Levinson,[u'tt0095953']
Patricia Cardoso,[u'tt0296166'], W,T,
Alice Wu,"[u'tt0384504', u'tt0384504']", W,T,
Shigeyasu Yamauchi,[u'tt0142239']
Judy Kibinge,[u'tt2400272'], W,T,
Naomi Kawase,[u'tt3230162'], W,T,
Cheryl Dunye,"[u'tt0258223', u'tt0118125']", W,T,T
Marc Forster,[u'tt0419887']
N/A,"[u'tt0098674', u'tt1850458']"
Susanne Bier,[u'tt0469623']
Haifaa Al-Mansour,[u'tt2258858']
Niki Caro,[u'tt0298228'], W,,
Joan Chen,[u'tt0115005'], W,T,
Victoria Mahoney,[u'tt1504508'], W,T,
Marialy Rivas,[u'tt2125698'], W,T,
Danny Boyle,[u'tt1010048']
 Loveleen Tandan,[u'tt1010048']
Marta Cunningham,[u'tt2577990'], W,T,
Sook-Yin Lee,[u'tt1372306'], W,T,
Tanya Wright,[u'tt1524105']
Tarquin Cardona,[u'tt1634340']
Anthony M. Lanza,[u'tt0379585']
