Ava DuVernay, W, poc, , http://mashable.com/2015/01/13/black-female-directors/#t.I7PQxQe5qG
Gina Prince-Bythewood, W, poc, , http://mashable.com/2015/01/13/black-female-directors/#t.I7PQxQe5qG
Amma Asante, W, poc, , http://mashable.com/2015/01/13/black-female-directors/#t.I7PQxQe5qG
Kasi Lemmons, W, poc, , http://mashable.com/2015/01/13/black-female-directors/#t.I7PQxQe5qG
Julie Dash, W, poc, , http://mashable.com/2015/01/13/black-female-directors/#t.I7PQxQe5qG
Darnell Martin, W, poc, , http://mashable.com/2015/01/13/black-female-directors/#t.I7PQxQe5qG
Dee Rees, W, poc, , http://mashable.com/2015/01/13/black-female-directors/#t.I7PQxQe5qG
Euzhan Palcy, W, poc, , http://mashable.com/2015/01/13/black-female-directors/#t.I7PQxQe5qG
Haifaa al-Mansour, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Loveleen Tandan, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Cheryl Dunye, W, poc, LGBTQ, http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Kasi Lemmons, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Neema Barnette, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Victoria Mahoney, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Sanaa Hamri, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Issa Rae, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Mina Shum, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Marta Cunningham, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Sook-Yin Lee, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Darnell Martin, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Shola Lynch, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Millicent Shelton, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Alice Wu, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Hanelle M. Culpepper, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Janicza Bravo, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Jessie Maple, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Maya Angelou, W, poc, , http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm
Alile Sharon Larkin, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
A Girl Walks Home Alone at Night, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
