Lynne Ramsay
 Amy Heckerling
Julia Leigh
Catherine Hardwicke
Shari Springer Berman
Ava DuVernay
Anne Fletcher
Kathryn Bigelow
Ellie Kanner
Sofia Coppola
Larysa Kondracki
 Lana Wachowski
Betty Thomas
Debbie Tucker Green
Mary Harron
Amy Heckerling
Kimberly Peirce
Christine Jeffs
Lorene Scafaria
Massy Tadjedin
Phyllida Lloyd
Nora Ephron
Clare Kilner
Lone Scherfig
Karyn Kusama
Debra Granik
Nicole Kassell
Rachel Talalay
Allison Anders
 Kátia Lund
 Lilly Wachowski
Sarah Gavron
Jennifer Kent
Joan Tewkesbury
Nancy Meyers
Gina Prince-Bythewood
Sam Taylor-Johnson
Euzhan Palcy
Dennie Gordon
 Judy Morris
 Robert Pulcini
 Vicky Jenson
Dee Rees
Courtney Hunt
Nicole Holofcener
Cheryl Dunye
Martha Coolidge
Amma Asante
Mira Nair
Maya Forbes
Anna Boden
Floria Sigismondi
Lana Wachowski
Lesli Linka Glatter
Haifaa Al-Mansour
 Loveleen Tandan
