Nancy Jo Sales
Elizabeth Meriwether
 Laura Wade
Jennifer Weiner
Ann Biderman
 Gale Anne Hurd
 Eilis Kirwan
April Blair
Karen Walton
Liz Tuccillo
 Lana Wachowski
Jane Hawking
Lauren Weisberger
Meg LeFauve
Lorene Scafaria
Laura Ziskin
Fannie Flagg
Cynthia Mort
Lucy Alibar
Jane Austen
Karen McCullah
Nicole Kassell
Sylvia Nasar
 Judy Morris
Katherine Fugate
Pam Brady
Jay Presson Allen
Shirley Jackson
Lisa Genova
Marie Brenner
Suzanne Collins
Diana Ossana
 Vendela Vida
Phoebe Gloeckner
Susannah Grant
Gigi Levangie
Josann McGibbon
Laura Wade
Diane Johnson
Alicia Erian
Melissa Rosenberg
Anna Boden
Massy Tadjedin
Jenny Lumet
Floria Sigismondi
I. Marlene King
Margery Sharp
 Debra Hill
Lilly Wachowski
Mildred Cram
Alice Hoffman
Harriet Frank Jr.
Phyllis Nagy
Julia Leigh
Olivia Hetreed
Agatha Christie
 Shari Springer Berman
Kathryn Bigelow
Ruth Prawer Jhabvala
Jane Murfin
Mary Shelley
Doris Kearns Goodwin
 Caroline Thompson
Aline Brosh McKenna
Zoë Lund
Brenda Chapman
Lynn Vincent
Leslie Dixon
Juliet Snowden
Theresa Rebeck
Lynne Ramsay
Lois Duncan
Lisa Collier Cool
P.D. James
Pamela Pettler
Tracy Chevalier
Allison Anders
Amy Poehler
 Karen Walton
Annie Proulx
Gloria Katz
Rachel Cohn
Cheryl Strayed
Mary Agnes Donoghue
Alanna Nash
Euzhan Palcy
Leslie Newman
Nancy Meyers
Kaui Hart Hemmings
Cherie Currie
Susan Orlean
Gale Anne Hurd
Carol Sobieski
Deborah Moggach
Gillian Flynn
Bridget O'Connor
Stephenie Meyer
Alice Munro
J.K. Rowling
 Anne Spielberg
Anne Rosellini
Sofia Coppola
Emma Thompson
Joyce Maynard
Patricia Highsmith
Daphne Du Maurier
Debra Hill
Ruth Rose
Haifaa Al-Mansour
Vicki Baum
Ava DuVernay
Diablo Cody
 Susannah Grant
Candace Bushnell
Agnès Varda
Lynn Barber
Leslye Headland
Misan Sagay
Joanne Harris
Micky Levy
Abi Morgan
Philippa Gregory
Ardel Wray
Mary Harron
 Anna Hamilton Phelan
Gina Prince-Bythewood
 Robert Pulcini
Cheryl Dunye
Maya Forbes
Nora Ephron
Tod Davies
Jane Goldman
Debra Granik
 Clara Royer
Judi Barrett
Jennifer Kent
Kay Linaker
A.S. Byatt
Bari Wood
 Abi Morgan
Caroline Thompson
 Pam Brady
 Gloria Katz
Nicole Holofcener
Sarah Kernochan
Dana Fox
Dee Rees
Mary Mapes
Robin Swicord
Melissa Mathison
Shauna Cross
Courtney Hunt
Adela Rogers St. Johns
Sylvia Anderson
Malia Scotch Marmo
Diane Drake
Rashida Jones
Jacquelyn Mitchard
Ntozake Shange
Emma Donoghue
Charlotte Brontë
Delia Ephron
S.E. Hinton
Marti Noxon
Larysa Kondracki
Kerry Ehrin
Debbie Tucker Green
Amy Heckerling
Andrea Berloff
Anne Rice
Coline Serreau
Emily Fox
Vera Brittain
Lona Williams
Judith Guest
Toni Morrison
Carole Eastman
Sara Gruen
Annie Mumolo
Frances Goodrich
Laeta Kalogridis
Rachel Talalay
Akosua Busia
Lionel Shriver
Irene Mecchi
Kay Cannon
Joan Didion
Sue Miller
Iris Rainer
Callie Khouri
Leigh Brackett
Kathryn Stockett
Maria Maggenti
Pamela Wallace
Amy Holden Jones
Joan Tewkesbury
Linda Woolverton
Angela Carter
Lana Wachowski
 Melisa Wallack
 Annie Mumolo
