Carl Ellsworth,"[u'Category:All stub articles', u'Category:American male screenwriters', u'Category:American screenwriter stubs', u'Category:Articles with hCards', u'Category:Living people', u'Category:Wikipedia articles with BNF identifiers', u'Category:Wikipedia articles with ISNI identifiers', u'Category:Wikipedia articles with LCCN identifiers', u'Category:Wikipedia articles with VIAF identifiers', u'Category:Year of birth missing (living people)']"
Didier Kaminka,
Brent Maddock,"[u'Category:All stub articles', u'Category:American film director stubs', u'Category:American film directors', u'Category:American film producers', u'Category:American male screenwriters', u'Category:Articles with hCards', u'Category:Living people', u'Category:Place of birth missing (living people)', u'Category:Use mdy dates from November 2013', u'Category:Wikipedia articles with BNF identifiers']"
John Krasinski,"[u'Category:1979 births', u'Category:21st-century American male actors', u'Category:Actors from Newton, Massachusetts', u'Category:American Roman Catholics', u'Category:American expatriates in the United Kingdom', u'Category:American film directors', u'Category:American film producers', u'Category:American male film actors', u'Category:American male screenwriters', u'Category:American male television actors']"
Larry Rattner,
Rick King,
 Kevin Williamson,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
 Jason Schwartzman,"[u'Category:1980 births', u'Category:20th-century American male actors', u'Category:21st-century American male actors', u'Category:All BLP articles lacking sources', u'Category:All articles to be merged', u'Category:American drummers', u'Category:American film score composers', u'Category:American male film actors', u'Category:American male screenwriters', u'Category:American male television actors']"
Nancy Jo Sales,"[u'Category:1964 births', u'Category:All stub articles', u'Category:American journalist, 1960s birth stubs', u'Category:American music journalists', u'Category:American women journalists', u'Category:Living people', u'Category:People from West Palm Beach, Florida', u'Category:Women music writers']"
Daniel Waters,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
John Watson,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
David Robert Mitchell,"[u'Category:1974 births', u'Category:American film directors', u'Category:American film editors', u'Category:American male screenwriters', u'Category:Articles with hCards', u'Category:Film directors from Michigan', u'Category:Living people', u'Category:People from Clawson, Michigan', u'Category:Twitter username different from Wikidata', u'Category:Use mdy dates from February 2013']"
Dan Harmon,"[u'Category:1973 births', u'Category:American comedy writers', u'Category:American male comedians', u'Category:American male screenwriters', u'Category:American television writers', u'Category:Articles with hCards', u'Category:Commons category with local link same as on Wikidata', u'Category:Living people', u'Category:Male television writers', u'Category:People from Milwaukee']"
Brian Koppelman,"[u'Category:1966 births', u'Category:American Jews', u'Category:American film directors', u'Category:American film producers', u'Category:American male screenwriters', u'Category:American podcasters', u'Category:American record producers', u'Category:Articles with hCards', u'Category:Film directors from New York', u'Category:Fordham University School of Law alumni']"
Robert L. Levy,"[u'Category:All article disambiguation pages', u'Category:All disambiguation pages', u'Category:Human name disambiguation pages']"
Elaine Pope,"[u'Category:American film producers', u'Category:American television writers', u'Category:Articles with hCards', u'Category:Emmy Award winners', u'Category:Living people', u'Category:Use mdy dates from December 2013', u'Category:Wikipedia articles with VIAF identifiers', u'Category:Year of birth missing (living people)']"
 Joss Whedon,"[u'Category:1964 births', u'Category:All articles with dead external links', u'Category:American atheists', u'Category:American comics writers', u'Category:American feminists', u'Category:American film directors', u'Category:American horror writers', u'Category:American humanists', u'Category:American male novelists', u'Category:American male screenwriters']"
Bert V. Royal,"[u'Category:1977 births', u'Category:21st-century American dramatists and playwrights', u'Category:All articles containing potentially dated statements', u'Category:American male dramatists and playwrights', u'Category:American male screenwriters', u'Category:American television writers', u'Category:Articles containing potentially dated statements from 2010', u'Category:Casting directors', u'Category:Gay writers', u'Category:LGBT dramatists and playwrights']"
Elizabeth Meriwether,"[u'Category:1982 births', u'Category:21st-century American dramatists and playwrights', u'Category:21st-century women writers', u'Category:All articles with dead external links', u'Category:All articles with unsourced statements', u'Category:American screenwriters', u'Category:American television producers', u'Category:American television writers', u'Category:American women dramatists and playwrights', u'Category:American women screenwriters']"
Paul Haggis,"[u'Category:1953 births', u'Category:Articles with hCards', u'Category:BAFTA winners (people)', u'Category:Best Original Screenplay Academy Award winners', u'Category:Canadian atheists', u'Category:Canadian emigrants to the United States', u'Category:Canadian film directors', u'Category:Canadian film producers', u'Category:Canadian former Christians', u'Category:Canadian screenwriters']"
